Doctor_ID,Name,Specialty
1,Bradley Austin,Neurologist
2,Gabrielle Park,Dermatologist
3,Leah Riggs,Orthopedic
4,Timothy Sellers,Dermatologist
5,Daryl Johnson,Cardiologist
6,Alexander Smith,Orthopedic
7,Leah Knapp,Neurologist
8,Eric Rodriguez,Cardiologist
9,Joseph Lopez,Orthopedic
10,Aaron Clark,General Physician
11,Joseph Roman,General Physician
12,Tonya Murray,Orthopedic
13,Ronald Sexton,Cardiologist
14,William Cruz,Neurologist
15,Diana Charles,Dermatologist
16,Tina Allen,Dermatologist
17,Melissa Williams,Pediatrician
18,Karen Gibson,General Physician
19,Anthony Gray,Neurologist
20,Emily Graham,General Physician
21,Hannah Lee,Cardiologist
22,Michael Flores,General Physician
23,Melissa Collins,Pediatrician
24,Tiffany Mcdowell,Neurologist
25,Ryan Rivera,Orthopedic
26,Courtney Wright,Orthopedic
27,Daniel Richardson,Neurologist
28,Matthew Moore,Orthopedic
29,Dr. Eric Bennett,Neurologist
30,Angela Conley,Cardiologist
31,Alexis Robinson,Orthopedic
32,Elizabeth Fuller,Dermatologist
33,Kelsey Washington,Cardiologist
34,William King,Orthopedic
35,Jennifer Harding,Orthopedic
36,Kim Martin,General Physician
37,Misty Molina,Cardiologist
38,John Jackson,Pediatrician
39,Michelle Bates,Orthopedic
40,Victoria Baker,Dermatologist
41,Robyn Cox,General Physician
42,Heather Briggs,Orthopedic
43,Kristina Taylor,Neurologist
44,Alyssa Green,Pediatrician
45,William Burke,Dermatologist
46,Frank Arellano,General Physician
47,Evan Duarte,Cardiologist
48,Heather Smith,Cardiologist
49,Gregory Perry,Neurologist
50,Emily Bernard,Neurologist
